Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
VMLT_0206,,,Pulse,,,
VMLT_0207,,,R-Vision,,,
VMLT_0208,,,Raleigh,,,
VMLT_0209,,,Ransome,,,
VMLT_0210,,,Regent,,,
VMLT_0211,,,Reliant,,,
VMLT_0212,,,Renault,,,
VMLT_0213,,,Renault Trucks,,,
VMLT_0214,,,Reva,,,
VMLT_0215,,,Riley,,,
VMLT_0216,,,Ris Bus,,,
VMLT_0217,,,Robin Hood,,,
VMLT_0218,,,Rolls Royce,,,
VMLT_0219,,,Rover,,,
VMLT_0220,,,Ruf,,,
VMLT_0221,,,Saab,,,
VMLT_0222,,,Santana,,,
VMLT_0223,,,Sanyang,,,
VMLT_0224,,,Sao,,,
VMLT_0225,,,Saviem,,,
VMLT_0226,,,Saxon,,,
VMLT_0227,,,Scammell,,,
VMLT_0228,,,Scania,,,
VMLT_0229,,,Scutum,,,
VMLT_0230,,,Seat,,,
VMLT_0231,,,Secma,,,
VMLT_0232,,,Simca,,,
VMLT_0233,,,Singer,,,
VMLT_0234,,,Sitcar,,,
VMLT_0235,,,Skoda,,,
VMLT_0236,,,Skywind,,,
VMLT_0237,,,Smart,,,
VMLT_0238,,,Smc,,,
VMLT_0239,,,Smiths,,,
VMLT_0240,,,Spyker,,,
VMLT_0241,,,Ssangyong,,,
VMLT_0242,,,Steyr,,,
VMLT_0243,,,Strathcarron,,,
VMLT_0244,,,Stuart Taylor,,,
VMLT_0245,,,Subaru,,,
VMLT_0246,,,Sukida,,,
VMLT_0247,,,Sunbeam,,,
VMLT_0248,,,Superbyke,,,
VMLT_0249,,,Suzuki,,,
VMLT_0250,,,Talbot,,,
VMLT_0251,,,Tata,,,
VMLT_0252,,,Tesla,,,
VMLT_0253,,,Think Global,,,
VMLT_0254,,,Tiger,,,
VMLT_0255,,,Toyota,,,
VMLT_0256,,,Trigano,,,
VMLT_0257,,,Triumph,,,
VMLT_0258,,,Tvr,,,
VMLT_0259,,,Uaz,,,
VMLT_0260,,,Urban,,,
VMLT_0261,,,Vanden Plas,,,
VMLT_0262,,,Vauxhall,,,
VMLT_0263,,,Vdl,,,
VMLT_0264,,,Velocette,,,
VMLT_0265,,,Venturi,,,
VMLT_0266,,,Vespa (Douglas),,,
VMLT_0267,,,Vintage,,,
VMLT_0268,,,Volga,,,
VMLT_0269,,,Volkswagen,,,
VMLT_0270,,,Volkswagen  Comm,,,
VMLT_0271,,,Volvo,,,
VMLT_0272,,,Wartburg,,,
VMLT_0273,,,Weidemann,,,
VMLT_0274,,,Westfield,,,
VMLT_0275,,,Winget,,,
VMLT_0276,,,Wolseley,,,
VMLT_0277,,,X-Bow,,,
VMLT_0278,,,Yale,,,
VMLT_0279,,,Yamaha,,,
VMLT_0280,,,Yuan,,,
VMLT_0281,,,Zastava,,,
VMLT_0282,,,Zenos,,,
VMLT_0283,,,Zhenhua,,,
VMLT_0284,,,Zingyue,,,
