Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
CRTY_GAB,,,Gabon,,,
CRTY_GMB,,,Gambia (the),,,
CRTY_GEO,,,Georgia,,,
CRTY_DEU,,,Germany,,,
CRTY_GHA,,,Ghana,,,
CRTY_GIB,,,Gibraltar,,,
CRTY_GRC,,,Greece,,,
CRTY_GRL,,,Greenland,,,
CRTY_GRD,,,Grenada,,,
CRTY_GLP,,,Guadeloupe,,,
CRTY_GUM,,,Guam,,,
CRTY_GTM,,,Guatemala,,,
CRTY_GGY,,,Guernsey,,,
CRTY_GIN,,,Guinea,,,
CRTY_GNB,,,Guinea-Bissau,,,
CRTY_GUY,,,Guyana,,,
CRTY_HTI,,,Haiti,,,
CRTY_HMD,,,Heard Island and McDonald Islands,,,
CRTY_VAT,,,Holy See (the),,,
CRTY_HND,,,Honduras,,,
CRTY_HKG,,,Hong Kong,,,
CRTY_HUN,,,Hungary,,,
CRTY_ISL,,,Iceland,,,
CRTY_IND,,,India,,,
CRTY_IDN,,,Indonesia,,,
CRTY_IRN,,,Iran (Islamic Republic of),,,
CRTY_IRQ,,,Iraq,,,
CRTY_IRL,,,Ireland,,,
CRTY_IMN,,,Isle of Man,,,
CRTY_ISR,,,Israel,,,
CRTY_ITA,,,Italy,,,
CRTY_JAM,,,Jamaica,,,
CRTY_JPN,,,Japan,,,
CRTY_JEY,,,Jersey,,,
CRTY_JOR,,,Jordan,,,
CRTY_KAZ,,,Kazakhstan,,,
CRTY_KEN,,,Kenya,,,
CRTY_KIR,,,Kiribati,,,
CRTY_PRK,,,Korea (the Democratic People's Republic of),,,
CRTY_KOR,,,Korea (the Republic of),,,
CRTY_KWT,,,Kuwait,,,
CRTY_KGZ,,,Kyrgyzstan,,,
CRTY_LAO,,,Lao People's Democratic Republic (the),,,
CRTY_LVA,,,Latvia,,,
CRTY_LBN,,,Lebanon,,,
CRTY_LSO,,,Lesotho,,,
CRTY_LBR,,,Liberia,,,
CRTY_LBY,,,Libya,,,
CRTY_LIE,,,Liechtenstein,,,
CRTY_LTU,,,Lithuania,,,
CRTY_LUX,,,Luxembourg,,,
CRTY_MAC,,,Macao,,,
CRTY_MKD,,,North Macedonia,,,
CRTY_MDG,,,Madagascar,,,
CRTY_MWI,,,Malawi,,,
CRTY_MYS,,,Malaysia,,,
CRTY_MDV,,,Maldives,,,
CRTY_MLI,,,Mali,,,
CRTY_MLT,,,Malta,,,
CRTY_MHL,,,Marshall Islands (the),,,
CRTY_MTQ,,,Martinique,,,
CRTY_MRT,,,Mauritania,,,
CRTY_MUS,,,Mauritius,,,
CRTY_MYT,,,Mayotte,,,
CRTY_MEX,,,Mexico,,,
CRTY_FSM,,,Micronesia (Federated States of),,,
CRTY_MDA,,,Moldova (the Republic of),,,
CRTY_MCO,,,Monaco,,,
CRTY_MNG,,,Mongolia,,,
CRTY_MNE,,,Montenegro,,,
CRTY_MSR,,,Montserrat,,,
CRTY_MAR,,,Morocco,,,
CRTY_MOZ,,,Mozambique,,,
CRTY_MMR,,,Myanmar,,,
CRTY_NAM,,,Namibia,,,
CRTY_NRU,,,Nauru,,,
CRTY_NPL,,,Nepal,,,
CRTY_NLD,,,Netherlands (the),,,
CRTY_NCL,,,New Caledonia,,,
CRTY_NZL,,,New Zealand,,,
CRTY_NIC,,,Nicaragua,,,
CRTY_NER,,,Niger (the),,,
CRTY_NGA,,,Nigeria,,,
CRTY_NIU,,,Niue,,,
CRTY_NFK,,,Norfolk Island,,,
CRTY_MNP,,,Northern Mariana Islands (the),,,
CRTY_NOR,,,Norway,,,
CRTY_OMN,,,Oman,,,
CRTY_PAK,,,Pakistan,,,
CRTY_PLW,,,Palau,,,
CRTY_PSE,,,"Palestine, State of",,,
CRTY_PAN,,,Panama,,,
CRTY_PNG,,,Papua New Guinea,,,
CRTY_PRY,,,Paraguay,,,
CRTY_PER,,,Peru,,,
CRTY_PHL,,,Philippines (the),,,
CRTY_PCN,,,Pitcairn,,,
CRTY_POL,,,Poland,,,
CRTY_PRT,,,Portugal,,,
CRTY_PRI,,,Puerto Rico,,,
CRTY_QAT,,,Qatar,,,
CRTY_REU,,,Réunion,,,
CRTY_ROU,,,Romania,,,
CRTY_RUS,,,Russian Federation (the),,,
CRTY_RWA,,,Rwanda,,,
CRTY_BLM,,,Saint Barthélemy,,,
CRTY_SHN,,,"Saint Helena, Ascension and Tristan da Cunha",,,
CRTY_KNA,,,Saint Kitts and Nevis,,,
CRTY_LCA,,,Saint Lucia,,,
CRTY_MAF,,,Saint Martin (French part),,,
CRTY_SPM,,,Saint Pierre and Miquelon,,,
CRTY_VCT,,,Saint Vincent and the Grenadines,,,
CRTY_WSM,,,Samoa,,,
CRTY_SMR,,,San Marino,,,
CRTY_STP,,,Sao Tome and Principe,,,
CRTY_SAU,,,Saudi Arabia,,,
CRTY_SEN,,,Senegal,,,
CRTY_SRB,,,Serbia,,,
CRTY_SYC,,,Seychelles,,,
CRTY_SLE,,,Sierra Leone,,,
CRTY_SGP,,,Singapore,,,
CRTY_SXM,,,Sint Maarten (Dutch part),,,
CRTY_SVK,,,Slovakia,,,
CRTY_SVN,,,Slovenia,,,
CRTY_SLB,,,Solomon Islands,,,
CRTY_SOM,,,Somalia,,,
CRTY_ZAF,,,South Africa,,,
CRTY_SGS,,,South Georgia and the South Sandwich Islands,,,
CRTY_SSD,,,South Sudan,,,
CRTY_ESP,,,Spain,,,
CRTY_LKA,,,Sri Lanka,,,
CRTY_SDN,,,Sudan (the),,,
CRTY_SUR,,,Suriname,,,
CRTY_SJM,,,Svalbard and Jan Mayen,,,
CRTY_SWE,,,Sweden,,,
CRTY_CHE,,,Switzerland,,,
CRTY_SYR,,,Syrian Arab Republic (the),,,
CRTY_TWN,,,Taiwan (Province of China),,,
CRTY_TJK,,,Tajikistan,,,
CRTY_TZA,,,"Tanzania, the United Republic of",,,
CRTY_THA,,,Thailand,,,
CRTY_TLS,,,Timor-Leste,,,
CRTY_TGO,,,Togo,,,
CRTY_TKL,,,Tokelau,,,
CRTY_TON,,,Tonga,,,
CRTY_TTO,,,Trinidad and Tobago,,,
CRTY_TUN,,,Tunisia,,,
CRTY_TUR,,,Turkey,,,
CRTY_TKM,,,Turkmenistan,,,
CRTY_TCA,,,Turks and Caicos Islands (the),,,
CRTY_TUV,,,Tuvalu,,,
CRTY_UGA,,,Uganda,,,
CRTY_UKR,,,Ukraine,,,
CRTY_ARE,,,United Arab Emirates (the),,,
CRTY_GBR,,,United Kingdom of Great Britain and Northern Ireland (the),,,
CRTY_UMI,,,United States Minor Outlying Islands (the),,,
CRTY_USA,,,United States of America (the),,,
CRTY_ZZZ,,,Unknown,,,
CRTY_URY,,,Uruguay,,,
CRTY_UZB,,,Uzbekistan,,,
CRTY_VUT,,,Vanuatu,,,
CRTY_VEN,,,Venezuela (Bolivarian Republic of),,,
CRTY_VNM,,,Viet Nam,,,
CRTY_VGB,,,Virgin Islands (British),,,
CRTY_VIR,,,Virgin Islands (U.S.),,,
CRTY_WLF,,,Wallis and Futuna,,,
CRTY_ESH,,,Western Sahara,,,
CRTY_YEM,,,Yemen,,,
CRTY_ZMB,,,Zambia,,,
CRTY_ZWE,,,Zimbabwe,,,
